<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RI.IMOEX,D,20230217,000000,2157.5000000,2180.9600000,2147.3100000,2168.8800000,23600899785
RI.IMOEX,D,20230220,000000,2172.5300000,2186.3900000,2140.7800000,2183.5700000,31016215640
RI.IMOEX,D,20230221,000000,2184.6000000,2227.8200000,2184.5100000,2212.4200000,49446562564
RI.IMOEX,D,20230222,000000,2215.4300000,2215.5800000,2194.9900000,2212.4000000,20591028972
RI.IMOEX,D,20230224,000000,2209.1000000,2223.2300000,2202.2500000,2208.0300000,18884075081
RI.IMOEX,D,20230227,000000,2194.3900000,2241.1000000,2188.9500000,2241.1000000,36413144034
RI.IMOEX,D,20230228,000000,2246.2600000,2258.6800000,2239.5900000,2253.1600000,37037934005
RI.IMOEX,D,20230301,000000,2258.8900000,2287.4800000,2255.4500000,2279.6500000,39998084854
RI.IMOEX,D,20230302,000000,2284.8700000,2286.2700000,2235.4300000,2254.3000000,50700148754
RI.IMOEX,D,20230303,000000,2250.1200000,2273.5200000,2249.8100000,2272.2000000,26691515809
RI.IMOEX,D,20230306,000000,2286.2000000,2297.8600000,2283.4000000,2294.1200000,33805510005
RI.IMOEX,D,20230307,000000,2294.3200000,2298.9300000,2281.4600000,2295.6000000,24577188303
RI.IMOEX,D,20230309,000000,2295.0300000,2302.1000000,2278.9500000,2290.1400000,28737624061
RI.IMOEX,D,20230310,000000,2272.6100000,2283.1800000,2266.3300000,2276.2500000,28406887151
RI.IMOEX,D,20230313,000000,2279.1300000,2289.7000000,2250.1400000,2269.4700000,40548601017
RI.IMOEX,D,20230314,000000,2266.7800000,2290.3200000,2261.6500000,2290.3200000,37207686073
RI.IMOEX,D,20230315,000000,2287.1600000,2295.0600000,2257.0000000,2262.0700000,40744048851
RI.IMOEX,D,20230316,000000,2262.6100000,2269.0100000,2236.7700000,2258.2200000,35340044256
RI.IMOEX,D,20230317,000000,2284.7800000,2322.7800000,2275.4800000,2322.7800000,107891118681
