<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RI.IMOEX,D,20220526,000000,2348.4400000,2415.0300000,2327.2900000,2413.0600000,64389748219
RI.IMOEX,D,20220527,000000,2424.7000000,2439.8900000,2399.9200000,2407.5900000,34599658361
RI.IMOEX,D,20220530,000000,2418.2100000,2433.0400000,2376.4400000,2400.3900000,27062976274
RI.IMOEX,D,20220531,000000,2400.7500000,2400.7500000,2351.7400000,2355.7500000,20585317535
RI.IMOEX,D,20220601,000000,2349.8400000,2385.6400000,2338.9000000,2374.6000000,23132240688
RI.IMOEX,D,20220602,000000,2374.6700000,2382.2300000,2337.5300000,2340.1700000,25917699606
RI.IMOEX,D,20220603,000000,2341.5500000,2348.0300000,2286.8200000,2308.0300000,36609465662
RI.IMOEX,D,20220606,000000,2308.3500000,2321.7500000,2277.2100000,2282.1600000,23457674854
RI.IMOEX,D,20220607,000000,2281.3000000,2294.4000000,2239.7200000,2291.6200000,24661898168
RI.IMOEX,D,20220608,000000,2296.6200000,2342.6900000,2296.6200000,2318.8500000,33918535746
RI.IMOEX,D,20220609,000000,2321.5700000,2323.3900000,2275.2200000,2293.9900000,24738214547
RI.IMOEX,D,20220610,000000,2282.8100000,2296.1000000,2273.9500000,2285.5200000,22114939138
RI.IMOEX,D,20220614,000000,2280.0200000,2308.4300000,2261.2600000,2289.7500000,30520876753
RI.IMOEX,D,20220615,000000,2290.7600000,2320.4000000,2282.7900000,2318.9600000,31590916060
RI.IMOEX,D,20220616,000000,2321.5200000,2374.2400000,2317.8700000,2369.7500000,35162308789
RI.IMOEX,D,20220617,000000,2373.0700000,2382.4900000,2345.4000000,2353.9800000,21819676212
RI.IMOEX,D,20220620,000000,2358.2600000,2404.4000000,2357.3300000,2404.4000000,33489261044
RI.IMOEX,D,20220621,000000,2407.6300000,2415.5900000,2357.2700000,2358.8100000,47502135753
RI.IMOEX,D,20220622,000000,2348.0400000,2373.5200000,2320.8700000,2373.5200000,43213808421
RI.IMOEX,D,20220623,000000,2375.6000000,2404.5400000,2350.1000000,2404.5400000,48693127279
RI.IMOEX,D,20220624,000000,2405.3100000,2414.0200000,2372.0500000,2391.5100000,32410420917
RI.IMOEX,D,20220627,000000,2387.5500000,2417.0600000,2384.3200000,2417.0600000,32214522864
RI.IMOEX,D,20220628,000000,2419.1500000,2419.8100000,2392.2600000,2408.7500000,43613786664
RI.IMOEX,D,20220629,000000,2407.4900000,2407.4900000,2370.4100000,2378.5500000,39651490407
RI.IMOEX,D,20220630,000000,2380.0300000,2407.2000000,2184.7100000,2204.8500000,112737946665
RI.IMOEX,D,20220701,000000,2197.9000000,2237.9200000,2165.1300000,2206.6100000,48444229898
RI.IMOEX,D,20220704,000000,2208.7000000,2240.8300000,2197.3900000,2204.6600000,38928461582
RI.IMOEX,D,20220705,000000,2214.3900000,2238.7300000,2187.5700000,2226.6400000,46855754072
RI.IMOEX,D,20220706,000000,2227.0200000,2273.2400000,2214.0400000,2221.8800000,41979520216
RI.IMOEX,D,20220707,000000,2221.0200000,2239.5900000,2206.1600000,2226.6500000,29747045300
RI.IMOEX,D,20220708,000000,2225.0200000,2234.5500000,2202.5200000,2222.5100000,22286692702
RI.IMOEX,D,20220711,000000,2213.5500000,2224.3500000,2156.3600000,2162.3400000,30443999359
RI.IMOEX,D,20220712,000000,2160.7400000,2160.7400000,2105.2600000,2133.7700000,33505813693
RI.IMOEX,D,20220713,000000,2138.1400000,2142.5100000,2064.5800000,2073.6800000,29012798649
RI.IMOEX,D,20220714,000000,2073.7900000,2105.6100000,2049.4400000,2063.3000000,25928075099
RI.IMOEX,D,20220715,000000,2069.0200000,2109.5200000,2056.8200000,2109.5200000,24157763961
RI.IMOEX,D,20220718,000000,2119.0200000,2127.9600000,2083.0100000,2096.4200000,21351322141
RI.IMOEX,D,20220719,000000,2089.2800000,2089.2800000,2047.3300000,2071.2800000,23001959950
RI.IMOEX,D,20220720,000000,2076.2400000,2098.9200000,2067.3700000,2075.2400000,25180650490
RI.IMOEX,D,20220721,000000,2075.9900000,2075.9900000,2022.1600000,2053.6400000,27161050496
RI.IMOEX,D,20220722,000000,2056.1600000,2099.6800000,2053.2000000,2096.7500000,24289143740
RI.IMOEX,D,20220725,000000,2099.8100000,2132.7500000,2090.2200000,2128.9600000,28329095286
RI.IMOEX,D,20220726,000000,2135.8900000,2192.4200000,2135.8900000,2192.4200000,35273017393
RI.IMOEX,D,20220727,000000,2198.9600000,2220.8200000,2184.7100000,2196.2200000,35509514711
RI.IMOEX,D,20220728,000000,2204.0100000,2213.2100000,2169.2100000,2189.1600000,27592176896
RI.IMOEX,D,20220729,000000,2187.6700000,2213.8100000,2181.0700000,2213.8100000,25880041554
RI.IMOEX,D,20220801,000000,2213.7500000,2220.7300000,2178.9800000,2180.0900000,34560596533
RI.IMOEX,D,20220802,000000,2176.5700000,2178.8100000,2137.3000000,2137.3000000,27943183431
RI.IMOEX,D,20220803,000000,2138.7600000,2156.5400000,2123.9200000,2123.9200000,26464941939
RI.IMOEX,D,20220804,000000,2126.3900000,2137.8300000,2111.8700000,2116.5800000,22584168634
